ISBN,Titulo,Autor,Ano,Editora,ID_usuario,Notas
1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,NTC/Contemporary Publishing Company,276774,1
312970242,The Angel Is Near,Deepak Chopra,2000,St. Martin's Press,276780,8
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,276780,0
1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003,1stBooks Library,276780,0
60938412,The Accidental Virgin,Valerie Frankel,2003,Avon Trade,276786,7
140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,276786,9
345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,276786,7
451625889,The Prince,Niccolo Machiavelli,1952,Signet Book,276786,8
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,276786,5
441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books,276786,4
394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf,276786,8
1569871213,Black Beauty (Illustrated Classics),Anna Sewell,1995,Landoll,276786,1
375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf,276786,0
966986105,Prescription for Terror,Sandra Levy Ceren,1999,Andrew Scott Publishers,276786,4
087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990,Atlantic Monthly Press,276786,7
340767936,Turning Thirty,Mike Gayle,2000,Hodder & Stoughton General Division,276786,2
743403843,Decipher,Stel Pavlou,2002,Simon & Schuster (Trade Division),276788,7
60930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,1999,Perennial,276788,7
60177586,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994,Harpercollins,276788,1
71416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,McGraw-Hill,276796,3
375509038,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,2003,Random House,276796,0
553062042,Daybreakers Louis Lamour Collection,Louis Lamour,1981,Bantam Doubleday Dell,276798,10
316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",276798,8
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro,276798,6
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro,276798,1
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001,Distribooks,276798,10
679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,276798,7
671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,276798,1
312252617,Fast Women,Jennifer Crusie,2001,St. Martin's Press,276798,2
312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press,276798,0
316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books,276798,0
316973742,The Gospel of Judas: A Novel,Simon Mawer,2002,Back Bay Books,276798,3
385235941,"Prize Stories, 1987: The O'Henry Awards",William Abrahams,1987,Doubleday Books,276798,4
446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books,276800,5
451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,276800,1
553347594,McDonald's: Behind the Arches,John F. Love,1995,Bantam,276800,7
671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,1986,Fireside,276800,1
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,276800,7
684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,1996,Fireside,276800,3
786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,276803,10
8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,2002,Tusquets,276804,1
671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,Star Trek,276804,7
671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,Pocket,276804,1
440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,1996,Dell,276806,1
312953453,Blood Oath,David Morrell,1994,St. Martin's Press,276806,8
446608653,The Alibi,Sandra Brown,2000,Warner Books,276808,3
446612545,The Beach House,James Patterson,2003,Warner Books,276811,4
446612618,A Kiss Remembered,Sandra Brown,2003,Warner Books,276812,3
451208080,The Short Forever,Stuart Woods,2003,Signet Book,276813,4
553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books,276813,1
671027360,Angels & Demons,Dan Brown,2001,Pocket Star,276813,10
812575954,The Deal,Joe Hutsko,2000,Tor Books (Mm),276813,2
316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books,276813,3
743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket,276813,1
345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,1991,Ballantine Books,276813,5
380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm),276813,9
446325805,"If Love Were Oil, I'd Be About a Quart Low",Lewis Grizzard,1994,Warner Books (Mm),276813,4
451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,1996,Onyx Books,276813,4
671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,276813,9
743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003,Free Press,276813,6
840734530,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,1992,Thomas Nelson Inc,276814,8
425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group,276814,5
375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,Random House,276814,0
9724119378,O Deus Das Pequenas Coisas,Roy,1998,Edicoes Asa,276817,8
451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,2002,Signet Book,276820,6
60929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,276820,9
60976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,276822,6
61099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,276822,3
671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,276822,10
446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books,276822,1
330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,2001,Pan Macmillan,276822,3
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor,276822,0
393020371,Next: The Future Just Happened,Michael Lewis,2001,W.W. Norton & Company,276822,7
1900850303,The Angelic Darkness,Richard Zimler,1999,Arcadia Books,276822,3
1903019699,The Soulbane Stratagem,Norman Jetmundsen,2000,"John Hunt Publishing, Ltd.",276822,10
345425294,Gangster,Lorenzo Carcaterra,2002,Fawcett Books,276822,1
451410319,Hush,Anne Frasier,2002,Onyx Books,276822,6
553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,276822,7
8420639133,Temor y Temblor,Soren Kierkegaard,2001,Alianza,276822,7
8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,2001,Downtown Book Center,276822,4
380778556,Rebecca,Daphne Du Maurier,1994,Avon,276822,7
451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book,276822,0
2740230,Keep It Simple: And Get More Out of Life,Nick Page,1999,Trafalgar Square,276827,6
385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta,276828,6
440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986,Laure Leaf,276828,6
505524996,Contact,Susan Grant,2002,Love Spell,276828,5
140252800,The Brimstone Wedding,Barbara Vine,1997,Penguin Books Ltd,276828,7
451452755,The Catswold Portal,Shirley Rousseau Murphy,1993,Roc,276828,8
812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002,Tor Fantasy,276828,0
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books,276828,5
60801263,Tree Grows In Brooklyn,Betty Smith,1988,Harpercollins Publisher,276828,7
61030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001,Avon Books,276828,9
140250964,Snow Angels,Stewart O'Nan,1995,Penguin Books,276828,5
446527165,Wish You Well,David Baldacci,2000,Warner Books,276828,10
671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket,276828,9
385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta,276828,4
039575514X,My Antonia,Willa Cather,1995,Mariner Books,276830,7
451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book,276832,10
330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),276832,7
486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications,276833,0
671021745,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,1998,Aladdin,276835,10
671047612,Skin And Bones,Franklin W. Dixon,2000,Aladdin,276837,7
671504282,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,1995,Simon Pulse,276838,10
399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,Putnam Pub Group,276840,3
785263292,"If Singleness Is a Gift, What's the Return Policy?",Holly Virden,2003,Nelson Books,276840,10
830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,1989,Regal Books,276842,4
345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books,276847,0
553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra,276847,5
3150000335,Kabale Und Liebe,Schiller,0,"Philipp Reclam, Jun Verlag GmbH",276847,3
3257203659,Der illustrierte Mann. ErzÃ?Â¤hlungen.,Ray Bradbury,2002,Diogenes,276847,6
3257207522,Der KÃ?Â¶nig in Gelb.,Raymond Chandler,1980,Diogenes Verlag,276847,3
3257208626,Fahrenheit 451,Ray Bradbury,1994,Distribooks Inc,276847,2
3257208634,Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,Ray Bradbury,1981,Diogenes Verlag,276847,10
3257208669,Das BÃ?Â¶se kommt auf leisen Sohlen.,Ray Bradbury,2003,Diogenes,276847,5
3257210450,LÃ?Â¶wenzahnwein. Roman.,Ray Bradbury,1999,Diogenes Verlag,276847,5
3257212054,Das Kind von morgen. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,276847,7
3257212429,Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,276847,10
3257214154,Familientreffen. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,276847,3
3257216416,Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.,Ray Bradbury,1988,Diogenes Verlag,276847,6
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,Distribooks,276847,2
342311360X,Die Liebe in Den Zelten,Gabriel Garcia Marquez,0,Deutscher Taschenbuch Verlag (DTV),276847,4
3423116714,Die Klone der Joanna May. Roman.,Fay Weldon,1993,Dtv,276847,1
3423241489,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,1998,Dtv,276847,0
3426605686,Haifischfrauen.,Kiana Davenport,1996,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co.",276847,7
3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,2002,Heyne,276847,6
3462021095,Schwarzer Tee mit drei StÃ¼ck Zucker,Renan Demirkan,1991,Kiepenheuer & Witsch,276847,8
3492045642,QuerschÃ?Â¼sse - Downsize This!,Michael Moore,2003,Piper,276847,8
3498020862,Die Korrekturen.,Jonathan Franzen,2002,"Rowohlt, Reinbek",276847,2
3499110695,Neun ErzÃ?Â¤hlungen.,Jerome D. Salinger,1968,Rowohlt Tb.,276847,6
3499151502,"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.",Jerome D. Salinger,1998,Rowohlt Tb.,276847,8
3518111000,"Ulysses (Ã?Â?bersetzg. WollschlÃ?Â¤ger). ( Neue Folge, 100).",James Joyce,1981,Suhrkamp,276847,10
3548254268,Eine ganz normale AffÃ?Â¤re.,Joanna Trollope,2002,Ullstein Tb,276847,6
3570300099,"Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).",Sue Townsend,2002,"Bertelsmann, MÃ?Â¼nchen",276847,6
3596292646,Das Buch der lÃ?Â¤cherlichen Liebe.,Milan Kundera,2000,"Fischer (Tb.), Frankfurt",276847,0
60977493,The God of Small Things,Arundhati Roy,1998,Perennial,276847,5
312872682,The James Dean Affair: A Neil Gulliver & Stevie Marriner Novel,Robert S. Levinson,2000,St Martins Pr,276847,5
316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown",276847,1
316693006,Four Blind Mice,James Patterson,2002,"Little, Brown",276847,2
345311396,Private Screening,Richard North Patterson,1994,Ballantine Books,276847,4
345378490,Congo,Michael Crichton,1995,Ballantine Books,276847,6
345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books,276847,10
345433173,The Tall Pine Polka,Lorna Landvik,1999,Ballantine Books,276847,1
375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,276847,5
375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,276847,10
380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,276847,6
380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,276847,0
380754509,The Case of the Lost Look-Alike (An Avon Camelot Book),Carol J. Farley,1988,Avon Books,276847,1
038076654X,Petals on the River,Kathleen E. Woodiwiss,1997,Avon Trade,276847,0
380807866,The Elusive Flame,Kathleen E. Woodiwiss,1999,Avon,276847,1
385316895,Legacy of Silence,Belva Plain,1998,Bantam Dell Pub Group,276847,9
385497466,The Brethren,JOHN GRISHAM,2000,Doubleday,276847,7
385508042,The King of Torts,John Grisham,2003,Doubleday Books,276847,10
385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday,276847,6
385511612,Bleachers,John Grisham,2003,Doubleday,276847,8
385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers,276847,6
425164403,Only Love (Magical Love),Erich Segal,1998,Berkley Publishing Group,276847,1
440234964,All or Nothing (Wheeler Large Print Books),Elizabeth Adler,2000,Island,276847,6
446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,276848,8
446610399,The Rescue,Nicholas Sparks,2001,Warner Books,276848,8
449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,276848,2
449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books,276848,1
451162072,Pet Sematary,Stephen King,1994,Signet Book,276848,10
451186648,Silent Snow,Steve Thayer,2000,Signet Book,276848,5
452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,276848,3
051513290X,Summer of Storms,Judith Kelman,2002,Jove Books,276848,5
553580388,The Patient,Michael Palmer,2001,Bantam Books,276848,0
590598848,"Demona's Revenge (Gargoyles, No. 2)",Francine Hughes,1995,Scholastic,276848,6
590629719,Clifford's Sports Day,Norman Bridwell,1996,Scholastic,276848,1
671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket,276848,10
671027387,Deception Point,Dan Brown,2002,Pocket,276848,0
684848783,Tis : A Memoir,Frank McCourt,1999,Scribner,276848,2
743486226,Angels & Demons,Dan Brown,2003,Atria,276850,2
786863986,A Monk Swimming,Malachy McCourt,1998,Hyperion,276852,6
803251718,Crazy Horse,Mari Sandoz,1961,University of Nebraska Press,276852,8
804117934,The Silent Cry (William Monk Novels (Paperback)),Anne Perry,1998,Ivy Books,276853,4
140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor,276853,9
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications,276854,2
60987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,276854,4
151008116,Life of Pi,Yann Martel,2002,Harcourt,276854,8
375704965,A Judgement in Stone,Ruth Rendell,2000,Vintage Books USA,276856,0
525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,276856,10
804111359,Secret History,DONNA TARTT,1993,Ballantine Books,276856,6
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,276856,9
435272683,Great Expectations (Heinemann Guided Readers),John Milne,1995,Delta Systems,276856,4
316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown",276856,6
006102063X,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002,HarperTorch,276856,7
60013117,Night Watch,Terry Pratchett,2002,HarperCollins,276856,1
60199563,Thief of Time,Terry Pratchett,2001,HarperCollins Publishers,276856,10
006052779X,Charlotte's Web Book and Charm (Charming Classics),E. B. White,2003,HarperFestival,276856,6
60563079,Peter Pan: The Original Story (Peter Pan),J. M. Barrie,2003,HarperFestival,276856,4
60809027,My Friend Flicka,Mary O'Hara,1988,Perennial,276856,1
61040967,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),Terry Pratchett,2001,HarperCollins,276856,1
61050474,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),Terry Pratchett,1998,HarperPrism,276856,6
61052515,"Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).)",Terry Pratchett,1997,HarperPrism,276856,9
61052523,Interesting Times: A Novel of Discworld,Terry Pratchett,1997,Harpercollins,276856,4
64472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,2002,HarperTempest,276856,10
140620664,Mansfield Park (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,276856,2
312148267,The Wind in the Willows,Kenneth Grahame,1996,St. Martin's Press,276856,8
312156960,The Winter King: A Novel of Arthur (The Warlord Chronicles: I),Bernard Cornwell,1997,St. Martin's Griffin,276856,0
312890044,Moonheart (Newford),Charles de Lint,1994,Orb Books,276856,5
034543191X,The King of Elfland's Daughter (Del Rey Impact),Edward John Moreton Drax Plunkett Dunsany,1999,Del Rey Books,276856,8
373836023,Powder and Patch,Georgette Heyer,2004,Harlequin,276857,10
375751513,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,1998,Modern Library,276859,5
375801677,The Iron Giant,Ted Hughes,1999,Knopf Books for Young Readers,276859,0
375814248,James and the Giant Peach,ROALD DAHL,2002,Knopf Books for Young Readers,276859,3
375823352,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,276859,2
037582345X,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,276859,3
375823468,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,276859,4
380730448,"The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole",Sue Townsend,1997,Perennial,276859,2
380973839,Martian Chronicles,Ray Bradbury,1997,William Morrow,276859,6
385327773,The Great God Pan,Donna Jo Napoli,2003,Wendy Lamb Books,276859,1
394586239,Possession: A Romance,A. S. Byatt,1990,Random House Inc,276859,3
439510112,Born Confused,Tanuja Desai Hidier,2003,Push,276859,9
440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell,276859,3
451409256,Making Minty Malone,Isabel Wolff,2000,Onyx Books,276859,6
451523415,Little Women (Signet Classic),Louisa May Alcott,1988,Signet Classics,276859,1
451526279,Emma (Signet Classics (Paperback)),Jane Austen,1996,Signet Classics,276859,6
451526341,Animal Farm,George Orwell,2004,Signet,276859,2
486415864,Great Expectations (Dover Thrift Editions),Charles Dickens,2001,Dover Publications,276859,7
553280589,Eva Luna,Isabel Allende,1989,Bantam Books,276859,7
571197639,Poisonwood Bible Edition Uk,Barbara Kingsolver,0,Faber Faber Inc,276861,4
670035262,The Green Man : Tales from the Mythic Forest,Ellen Datlow,2002,Viking Juvenile,276861,1
679423079,Nicholas Nickleby (Everyman's Library),Charles Dickens,1993,Alfred A. Knopf,276861,6
679751343,Angels & Insects : Two Novellas,A.S. BYATT,1994,Vintage,276861,6
684833395,Catch 22,Joseph Heller,1996,Simon & Schuster,276861,10
743245024,The Forsyte Saga : The Man of Property and In Chancery,John Galsworthy,2002,Touchstone,276861,8
749748001,The Enchanted Wood,Enid Blyton,2002,Egmont Childrens Books,276861,6
749748028,The Folk of the Faraway Tree,Enid Blyton,2002,Egmont Childrens Books,276861,8
